2025-09-21T15:50:19,153 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.bundle.core/4.4.3
2025-09-21T15:50:19,154 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.scr.state/4.4.3
2025-09-21T15:50:19,166 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.jaas.command/4.4.3
2025-09-21T15:50:19,181 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.jaas.command/4.4.3
2025-09-21T15:50:19,183 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.3
2025-09-21T15:50:19,185 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.3
2025-09-21T15:50:19,185 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.log.core/4.4.3
2025-09-21T15:50:19,204 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.log.core/4.4.3
2025-09-21T15:50:19,211 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.shell.commands/4.4.3
2025-09-21T15:50:19,226 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Registering commands for bundle org.apache.karaf.shell.commands/4.4.3
2025-09-21T15:50:19,227 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   org.apache.karaf.shell.ssh/4.4.3
2025-09-21T15:50:19,268 | INFO  | features-3-thread-1 | CommandExtension                 | 53 - org.apache.karaf.shell.core - 4.4.3 | Command registration delayed for bundle org.apache.karaf.shell.ssh/4.4.3. Missing service: [org.apache.sshd.server.SshServer]
2025-09-21T15:50:19,288 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.3 |   wrap_file__tmp_verisium_debug_temp_dir_3832751_karaf_offline_target_features-repo_jide_jide_3.5.1_jide-3.5.1.jar/0.0.0
